T,ウサギ,キツネ
0,500,10
0.001136,501,10
0.001342,500,10
0.001745,501,10
0.002224,502,10
0.002859,503,10
0.003007,503,11
0.00321,504,11
0.003245,505,11
0.003352,506,11
0.003691,507,11
0.004313,508,11
0.004873,509,11
0.005188,508,11
0.00532,509,11
0.005515,510,11
0.005896,511,11
0.007554,512,11
0.007633,513,11
0.007675,514,11
0.007718,515,11
0.008091,514,11
0.00831,515,11
0.008359,516,11
0.008481,517,11
0.008822,518,11
0.008897,519,11
0.009717,520,11
0.010812,519,11
0.011238,520,11
0.011969,521,11
0.012613,520,11
0.012799,519,11
0.012849,518,11
0.013196,519,11
0.014323,520,11
0.0144,521,11
0.014464,522,11
0.014633,523,11
0.014818,524,11
0.015274,523,11
0.015516,524,11
0.016548,525,11
0.017188,526,11
0.01766,526,12
0.017979,527,12
0.018798,526,12
0.01918,525,12
0.019561,526,12
0.020635,525,12
0.020822,526,12
0.020917,527,12
0.021628,528,12
0.021652,527,12
0.022368,528,12
0.022922,529,12
0.023381,530,12
0.023593,529,12
0.023803,530,12
0.023983,529,12
0.024349,530,12
0.024575,531,12
0.02485,532,12
0.025249,532,13
0.02597,533,13
0.025974,532,13
0.025986,533,13
0.026201,534,13
0.026309,534,14
0.026317,535,14
0.026509,536,14
0.026633,537,14
0.02734,538,14
0.027356,539,14
0.027367,540,14
0.028009,541,14
0.028199,542,14
0.028413,542,15
0.028759,542,16
0.028804,543,16
0.0292,544,16
0.029722,545,16
0.030032,546,16
0.030348,545,16
0.030781,546,16
0.031118,547,16
0.031232,546,16
0.031403,547,16
0.032336,548,16
0.032768,549,16
0.033129,548,16
0.033902,547,16
0.033924,547,17
0.034319,548,17
0.034851,549,17
0.035222,548,17
0.035246,547,17
0.035839,548,17
0.035872,547,17
0.035939,548,17
0.036573,549,17
0.036848,548,17
0.037005,547,17
0.037031,547,18
0.037812,548,18
0.037831,549,18
0.037892,550,18
0.038314,551,18
0.038665,552,18
0.038774,553,18
0.038896,553,19
0.039161,552,19
0.039174,553,19
0.039434,554,19
0.039448,555,19
0.039466,554,19
0.039626,555,19
0.039772,556,19
0.039916,556,20
0.040241,557,20
0.040251,558,20
0.040393,559,20
0.041347,558,20
0.041363,557,20
0.04173,558,20
0.041822,559,20
0.041888,558,20
0.042059,559,20
0.042937,560,20
0.043104,559,20
0.043518,560,20
0.043783,561,20
0.043931,562,20
0.044189,562,19
0.044484,561,19
0.044525,562,19
0.044863,563,19
0.04492,564,19
0.04499,565,19
0.045656,566,19
0.046084,566,20
0.046385,567,20
0.04644,566,20
0.046577,567,20
0.046696,566,20
0.047166,565,20
0.047279,566,20
0.047637,565,20
0.047652,566,20
0.048014,567,20
0.048098,568,20
0.048489,567,20
0.048728,566,20
0.04915,565,20
0.049659,564,20
0.050358,564,19
0.050682,565,19
0.050856,566,19
0.051194,565,19
0.052418,564,19
0.052419,565,19
0.052437,566,19
0.052625,567,19
0.052982,568,19
0.053416,569,19
0.053498,570,19
0.053513,571,19
0.053652,572,19
0.053873,573,19
0.054098,574,19
0.054265,575,19
0.054312,576,19
0.054496,575,19
0.054771,575,20
0.055579,576,20
0.055673,575,20
0.056238,574,20
0.056427,575,20
0.05676,574,20
0.056895,575,20
0.056986,576,20
0.057247,576,21
0.057451,576,22
0.057552,575,22
0.057861,576,22
0.058294,577,22
0.058423,576,22
0.058462,577,22
0.058623,578,22
0.058653,577,22
0.059082,576,22
0.059558,575,22
0.05961,576,22
0.059766,575,22
0.059822,576,22
0.059823,577,22
0.059966,576,22
0.06004,577,22
0.061157,576,22
0.061249,577,22
0.061353,576,22
0.061815,577,22
0.062136,578,22
0.06267,577,22
0.062697,576,22
0.063108,575,22
0.063696,576,22
0.063943,577,22
0.064049,578,22
0.064098,579,22
0.064591,580,22
0.064679,580,21
0.064771,580,22
0.06496,579,22
0.065073,580,22
0.065278,581,22
0.066267,582,22
0.066796,581,22
0.066849,582,22
0.067294,583,22
0.067321,584,22
0.067529,585,22
0.067725,584,22
0.067746,585,22
0.068721,584,22
0.069311,585,22
0.069411,586,22
0.069563,585,22
0.069629,584,22
0.070032,585,22
0.070138,585,21
0.070518,584,21
0.070645,584,22
0.070688,583,22
0.070781,582,22
0.071456,581,22
0.071586,582,22
0.071656,582,23
0.072035,581,23
0.072078,582,23
0.072886,583,23
0.073352,582,23
0.07416,581,23
0.074205,582,23
0.074546,581,23
0.074671,582,23
0.074778,583,23
0.07481,584,23
0.074995,585,23
0.075498,584,23
0.075582,585,23
0.075804,586,23
0.075841,587,23
0.076095,586,23
0.076218,587,23
0.07629,588,23
0.0764,589,23
0.076449,590,23
0.076886,591,23
0.077086,592,23
0.077316,593,23
0.077545,594,23
0.077714,595,23
0.07778,594,23
0.077988,594,24
0.078032,593,24
0.078046,593,25
0.078319,594,25
0.07859,595,25
0.078775,596,25
0.07923,597,25
0.07929,598,25
0.079439,597,25
0.079449,598,25
0.079751,597,25
0.079818,598,25
0.080183,599,25
0.080462,600,25
0.0807,601,25
0.080757,602,25
0.08139,603,25
0.081439,603,24
0.081512,603,25
0.081698,604,25
0.081919,604,26
0.082186,605,26
0.082294,606,26
0.082415,606,27
0.082777,607,27
0.082957,608,27
0.082994,607,27
0.083076,606,27
0.083222,605,27
0.08372,606,27
0.083811,607,27
0.084029,608,27
0.084088,607,27
0.084093,608,27
0.084167,607,27
0.084168,608,27
0.08446,609,27
0.084813,610,27
0.085281,611,27
0.085494,610,27
0.085515,611,27
0.08586,610,27
0.085952,609,27
0.086027,608,27
0.086049,609,27
0.086159,608,27
0.086603,607,27
0.08676,606,27
0.086843,607,27
0.087139,608,27
0.087186,609,27
0.087273,609,28
0.087286,609,29
0.087453,609,30
0.087453,610,30
0.087479,611,30
0.087548,610,30
0.087888,609,30
0.087944,608,30
0.08799,609,30
0.088053,608,30
0.088147,609,30
0.088203,610,30
0.088298,611,30
0.08835,612,30
0.088445,611,30
0.08878,612,30
0.088843,612,31
0.089214,611,31
0.089393,612,31
0.089416,613,31
0.089627,614,31
0.089789,613,31
0.089981,614,31
0.090124,615,31
0.090275,616,31
0.090628,615,31
0.091183,614,31
0.091217,614,32
0.091256,615,32
0.091313,614,32
0.091787,613,32
0.091988,614,32
0.091992,615,32
0.092138,616,32
0.09229,615,32
0.092354,616,32
0.09246,617,32
0.092523,616,32
0.092565,615,32
0.092713,615,31
0.092762,616,31
0.093151,616,32
0.0932,617,32
0.093215,616,32
0.093312,617,32
0.093746,616,32
0.093828,615,32
0.09435,616,32
0.094424,616,31
0.094731,617,31
0.095499,618,31
0.09557,617,31
0.09559,616,31
0.095603,617,31
0.095749,618,31
0.095852,618,32
0.096087,617,32
0.096289,616,32
0.096356,617,32
0.096387,616,32
0.096843,616,33
0.097218,617,33
0.097395,616,33
0.097603,615,33
0.097664,616,33
0.097809,617,33
0.09794,616,33
0.098171,615,33
0.098546,616,33
0.098817,615,33
0.098952,614,33
0.099546,615,33
0.099915,615,34
0.100133,615,33
0.100172,615,34
0.100224,614,34
0.100245,613,34
0.10026,612,34
0.100432,613,34
0.100561,612,34
0.100705,613,34
0.101075,614,34
0.101243,614,35
0.101471,615,35
0.101535,616,35
0.101622,617,35
0.101627,616,35
0.101875,617,35
0.101881,618,35
0.102106,619,35
0.10255,620,35
0.103124,619,35
0.10349,618,35
0.103729,619,35
0.103769,620,35
0.104099,619,35
0.104133,618,35
0.104153,619,35
0.104416,620,35
0.104473,620,36
0.104599,621,36
0.104636,620,36
0.105369,621,36
0.106031,622,36
0.106047,621,36
0.106235,620,36
0.106345,619,36
0.10652,619,35
0.106638,620,35
0.106666,619,35
0.106723,619,36
0.107014,619,37
0.107277,619,38
0.107606,620,38
0.107718,620,39
0.10773,619,39
0.107731,620,39
0.107933,619,39
0.107969,620,39
0.108172,619,39
0.108234,620,39
0.108427,619,39
0.108675,620,39
0.108719,619,39
0.108948,620,39
0.109452,621,39
0.109617,622,39
0.10966,623,39
0.109733,624,39
0.110031,624,40
0.110058,623,40
0.110179,624,40
0.110548,625,40
0.110688,625,41
0.110785,624,41
0.110915,625,41
0.111011,626,41
0.111038,625,41
0.111265,626,41
0.111405,625,41
0.11177,626,41
0.112225,626,42
0.112225,626,43
0.112406,626,44
0.112488,625,44
0.112491,624,44
0.112529,625,44
0.112712,624,44
0.112856,625,44
0.113068,626,44
0.113179,627,44
0.113655,628,44
0.113859,629,44
0.114056,630,44
0.114109,629,44
0.114122,630,44
0.114306,629,44
0.114328,630,44
0.114369,631,44
0.114452,630,44
0.114814,630,45
0.114999,629,45
0.115001,630,45
0.115084,629,45
0.115095,629,46
0.115159,630,46
0.115175,629,46
0.115185,628,46
0.115489,627,46
0.11551,628,46
0.115554,627,46
0.116126,628,46
0.11618,628,47
0.116431,627,47
0.116971,626,47
0.117057,625,47
0.117108,625,48
0.117143,626,48
0.117514,625,48
0.117559,626,48
0.117803,625,48
0.118006,626,48
0.118552,625,48
0.118756,625,49
0.118758,625,50
0.118855,624,50
0.118947,623,50
0.118972,622,50
0.119049,621,50
0.119123,620,50
0.11956,620,51
0.119646,619,51
0.119738,618,51
0.11978,619,51
0.119811,620,51
0.119911,620,52
0.120059,620,53
0.120159,619,53
0.120382,620,53
0.12049,619,53
0.120776,620,53
0.121331,619,53
0.121507,618,53
0.121548,619,53
0.121565,618,53
0.121696,617,53
0.121937,616,53
0.122246,617,53
0.122478,618,53
0.122639,617,53
0.122661,618,53
0.122671,619,53
0.123095,618,53
0.123174,619,53
0.123199,620,53
0.123384,619,53
0.123477,618,53
0.123498,619,53
0.123693,620,53
0.123822,621,53
0.123829,620,53
0.123881,621,53
0.123907,620,53
0.124237,621,53
0.124257,620,53
0.124371,621,53
0.125782,620,53
0.125978,619,53
0.12611,620,53
0.126216,620,54
0.126403,619,54
0.126462,618,54
0.126544,617,54
0.126689,618,54
0.126738,617,54
0.126777,616,54
0.126825,616,53
0.126981,615,53
0.127134,615,52
0.127201,614,52
0.127435,613,52
0.127464,613,53
0.128169,612,53
0.128495,611,53
0.128779,612,53
0.128779,611,53
0.128786,610,53
0.128801,609,53
0.129034,608,53
0.129101,609,53
0.129111,610,53
0.129693,611,53
0.129754,610,53
0.130266,611,53
0.130498,610,53
0.13078,609,53
0.130898,608,53
0.130913,607,53
0.130966,608,53
0.131135,607,53
0.131243,606,53
0.131311,605,53
0.131499,604,53
0.13159,604,54
0.131598,604,53
0.131695,605,53
0.131897,606,53
0.131958,607,53
0.131995,606,53
0.132265,607,53
0.132287,606,53
0.132458,605,53
0.132612,604,53
0.132618,603,53
0.132626,602,53
0.13308,602,54
0.133326,603,54
0.133366,602,54
0.133399,603,54
0.133525,602,54
0.133563,603,54
0.133617,602,54
0.134004,601,54
0.134109,601,53
0.134192,602,53
0.135164,601,53
0.135198,602,53
0.135498,603,53
0.135742,603,54
0.136247,602,54
0.136322,601,54
0.136377,601,53
0.136467,600,53
0.13658,601,53
0.136581,600,53
0.13664,600,52
0.136849,599,52
0.136935,598,52
0.136978,597,52
0.137063,596,52
0.137374,595,52
0.137479,596,52
0.137569,595,52
0.137594,594,52
0.137629,594,53
0.137636,593,53
0.137715,592,53
0.137718,593,53
0.137865,593,54
0.137924,594,54
0.138065,593,54
0.138125,592,54
0.138238,591,54
0.138389,591,55
0.138435,590,55
0.138652,589,55
0.139188,589,56
0.139292,588,56
0.139346,589,56
0.140259,590,56
0.140369,589,56
0.140543,588,56
0.140564,587,56
0.140584,587,57
0.141025,588,57
0.141499,589,57
0.141574,588,57
0.141902,587,57
0.142361,586,57
0.142712,586,58
0.142823,585,58
0.143139,584,58
0.143288,584,59
0.143382,583,59
0.143412,582,59
0.143549,581,59
0.143839,582,59
0.143936,583,59
0.144077,582,59
0.144142,581,59
0.14427,582,59
0.144866,582,60
0.145093,581,60
0.145101,582,60
0.14545,583,60
0.145549,583,61
0.145662,582,61
0.145978,581,61
0.146007,582,61
0.146014,581,61
0.146111,580,61
0.146382,581,61
0.14663,580,61
0.146677,579,61
0.146946,580,61
0.14697,579,61
0.146981,579,62
0.147006,578,62
0.147027,577,62
0.147157,576,62
0.147334,575,62
0.147585,574,62
0.147811,574,63
0.14794,573,63
0.148028,574,63
0.148046,573,63
0.148157,572,63
0.148219,571,63
0.148309,570,63
0.148327,569,63
0.148549,569,64
0.148727,569,65
0.148826,568,65
0.148913,569,65
0.149129,570,65
0.149592,569,65
0.149612,568,65
0.149731,567,65
0.149911,567,64
0.150018,567,65
0.150205,568,65
0.150413,567,65
0.150565,566,65
0.150652,567,65
0.150705,566,65
0.150754,567,65
0.150818,566,65
0.151144,565,65
0.151211,564,65
0.151223,563,65
0.151224,563,66
0.151291,562,66
0.151382,563,66
0.151509,562,66
0.151703,563,66
0.152085,562,66
0.15229,561,66
0.15234,562,66
0.152359,562,67
0.152392,561,67
0.152459,560,67
0.152502,559,67
0.152598,558,67
0.152656,557,67
0.152822,558,67
0.152911,557,67
0.152925,557,68
0.153113,557,69
0.153195,556,69
0.15408,555,69
0.154119,554,69
0.154341,553,69
0.154555,554,69
0.154593,553,69
0.154625,554,69
0.154696,555,69
0.154713,554,69
0.154912,554,70
0.154916,555,70
0.154976,554,70
0.155293,553,70
0.155328,553,71
0.155374,554,71
0.155531,553,71
0.155571,553,70
0.155588,552,70
0.155714,553,70
0.155931,552,70
0.156022,551,70
0.156081,550,70
0.156097,549,70
0.156195,549,71
0.156283,550,71
0.156448,549,71
0.156688,548,71
0.1573,549,71
0.157683,549,70
0.157718,549,71
0.157922,548,71
0.158037,547,71
0.158154,546,71
0.158244,547,71
0.158258,546,71
0.158313,545,71
0.158316,544,71
0.158435,545,71
0.158439,544,71
0.158628,543,71
0.158891,543,70
0.158925,544,70
0.159085,545,70
0.159088,544,70
0.159119,543,70
0.15923,542,70
0.159415,541,70
0.159502,542,70
0.159609,541,70
0.159854,540,70
0.159861,540,69
0.159972,539,69
0.159978,540,69
0.159994,539,69
0.160013,538,69
0.160019,537,69
0.160036,538,69
0.160208,537,69
0.160273,536,69
0.160661,535,69
0.16078,536,69
0.160871,535,69
0.160924,534,69
0.160946,533,69
0.161147,534,69
0.161168,533,69
0.161355,532,69
0.161399,531,69
0.161544,530,69
0.16161,529,69
0.161721,528,69
0.161729,529,69
0.16187,528,69
0.162051,527,69
0.162198,526,69
0.162574,525,69
0.162635,526,69
0.162741,527,69
0.162883,526,69
0.162904,526,70
0.162956,525,70
0.163094,524,70
0.163153,523,70
0.163162,524,70
0.163228,523,70
0.163656,522,70
0.163715,521,70
0.163739,522,70
0.163765,521,70
0.163773,520,70
0.163804,521,70
0.164168,520,70
0.164231,520,71
0.164309,521,71
0.164504,521,72
0.164664,522,72
0.164852,521,72
0.165006,520,72
0.165017,521,72
0.165053,520,72
0.1651,519,72
0.16528,518,72
0.165412,517,72
0.165491,518,72
0.165496,517,72
0.165706,516,72
0.165899,517,72
0.166018,516,72
0.166302,516,73
0.166319,517,73
0.166503,516,73
0.166667,515,73
0.166673,514,73
0.167,515,73
0.16702,514,73
0.167216,513,73
0.167525,514,73
0.167704,514,72
0.167769,515,72
0.167923,514,72
0.168532,514,71
0.168542,514,70
0.168883,515,70
0.168915,514,70
0.169056,513,70
0.169287,512,70
0.169418,511,70
0.169685,512,70
0.16989,511,70
0.16992,510,70
0.170071,511,70
0.170133,512,70
0.170156,513,70
0.170192,512,70
0.170341,511,70
0.170413,510,70
0.170452,511,70
0.170535,512,70
0.170591,511,70
0.170975,512,70
0.171228,513,70
0.171482,512,70
0.171537,512,71
0.171644,511,71
0.171862,512,71
0.171996,513,71
0.172162,512,71
0.172252,511,71
0.172362,512,71
0.17256,511,71
0.172628,512,71
0.172911,513,71
0.173001,512,71
0.173108,513,71
0.173231,512,71
0.173344,511,71
0.173367,510,71
0.173619,510,72
0.173906,511,72
0.174163,511,71
0.174279,512,71
0.174354,512,72
0.174414,511,72
0.174455,510,72
0.174818,510,73
0.175362,509,73
0.175469,508,73
0.175472,509,73
0.175716,510,73
0.175753,511,73
0.175786,510,73
0.175899,509,73
0.176109,508,73
0.176245,507,73
0.176269,507,74
0.176399,506,74
0.176829,505,74
0.176845,504,74
0.177002,503,74
0.177131,502,74
0.177315,503,74
0.177629,502,74
0.178331,503,74
0.178457,504,74
0.178834,503,74
0.179,503,75
0.179215,503,76
0.179243,503,77
0.179287,504,77
0.179322,505,77
0.179335,504,77
0.179395,503,77
0.179457,504,77
0.179542,503,77
0.179692,504,77
0.179702,505,77
0.179905,504,77
0.180036,503,77
0.180195,502,77
0.180538,501,77
0.180853,500,77
0.180886,499,77
0.181085,500,77
0.181158,499,77
0.181358,498,77
0.181758,499,77
0.181867,498,77
0.181928,499,77
0.182054,498,77
0.182119,497,77
0.182168,498,77
0.18217,499,77
0.182238,498,77
0.182338,499,77
0.18241,499,78
0.182432,498,78
0.182476,497,78
0.182538,496,78
0.182672,495,78
0.182978,494,78
0.183187,494,79
0.183225,493,79
0.183276,492,79
0.1834,493,79
0.183774,494,79
0.184724,493,79
0.184832,492,79
0.184917,491,79
0.184981,492,79
0.185008,491,79
0.185532,490,79
0.185549,491,79
0.185561,490,79
0.185886,489,79
0.186101,488,79
0.186102,487,79
0.186161,486,79
0.186399,487,79
0.186431,486,79
0.186624,487,79
0.186648,488,79
0.186854,487,79
0.186902,488,79
0.186921,487,79
0.187355,488,79
0.187438,488,78
0.187471,489,78
0.187538,488,78
0.187809,487,78
0.188063,486,78
0.188218,486,77
0.188572,487,77
0.188999,487,78
0.189124,488,78
0.189124,488,79
0.189161,489,79
0.189262,488,79
0.189298,488,80
0.189382,489,80
0.189483,488,80
0.189795,487,80
0.189848,488,80
0.190105,487,80
0.190135,486,80
0.190239,485,80
0.190299,486,80
0.190435,487,80
0.190507,486,80
0.190627,485,80
0.190789,485,81
0.190876,486,81
0.190906,485,81
0.191062,484,81
0.191096,484,82
0.191369,484,83
0.191588,484,84
0.19165,484,85
0.191655,485,85
0.191775,484,85
0.191893,483,85
0.191996,484,85
0.192286,483,85
0.192908,482,85
0.192909,483,85
0.193042,482,85
0.193129,483,85
0.193167,482,85
0.193257,481,85
0.193491,480,85
0.193695,481,85
0.193753,480,85
0.194046,481,85
0.194049,482,85
0.194062,481,85
0.194082,481,86
0.194117,481,87
0.194327,480,87
0.194338,481,87
0.194352,480,87
0.194357,479,87
0.19504,480,87
0.195141,481,87
0.195147,480,87
0.195296,481,87
0.195419,482,87
0.195439,481,87
0.195605,480,87
0.195674,479,87
0.195677,478,87
0.195701,479,87
0.195725,478,87
0.195843,479,87
0.195995,478,87
0.196219,477,87
0.196251,476,87
0.196335,475,87
0.196345,474,87
0.196485,473,87
0.196584,472,87
0.196588,472,88
0.196603,473,88
0.196827,472,88
0.196989,471,88
0.197153,471,89
0.197565,470,89
0.197585,469,89
0.197632,468,89
0.197837,467,89
0.197839,466,89
