t,s,i,r
0,10000,1,0
125.316518,9999,2,0
160.288397,9998,3,0
220.273291,9997,4,0
239.127801,9996,5,0
249.544913,9995,6,0
258.726953,9994,7,0
271.824198,9993,8,0
271.948063,9992,9,0
280.914468,9991,10,0
288.802761,9990,11,0
289.292327,9989,12,0
301.987664,9988,13,0
302.227156,9987,14,0
311.941087,9986,15,0
315.882619,9985,16,0
318.594755,9984,17,0
332.724488,9983,18,0
337.271311,9983,17,1
338.42565,9983,16,2
341.50243,9982,17,2
351.486221,9981,18,2
351.912878,9980,19,2
358.208635,9979,20,2
360.745549,9978,21,2
361.915276,9977,22,2
376.311102,9976,23,2
379.007189,9975,24,2
382.213163,9974,25,2
383.397636,9973,26,2
384.299964,9973,25,3
390.034895,9972,26,3
398.850559,9971,27,3
399.126972,9970,28,3
418.399795,9969,29,3
419.295003,9968,30,3
419.537106,9967,31,3
420.487474,9966,32,3
427.180629,9965,33,3
429.48451,9964,34,3
429.991525,9963,35,3
444.934614,9962,36,3
448.333108,9961,37,3
451.226236,9960,38,3
451.86434,9959,39,3
452.379892,9958,40,3
454.021585,9957,41,3
454.92646,9956,42,3
460.748311,9955,43,3
461.769235,9954,44,3
466.541371,9953,45,3
470.758742,9953,44,4
473.273728,9952,45,4
475.627038,9951,46,4
475.700285,9950,47,4
477.675257,9949,48,4
478.207551,9948,49,4
479.008959,9948,48,5
481.364239,9948,47,6
482.901391,9948,46,7
483.869128,9947,47,7
485.413628,9946,48,7
490.143515,9945,49,7
490.443469,9944,50,7
491.19054,9943,51,7
492.901034,9943,50,8
495.790672,9942,51,8
495.827135,9941,52,8
496.455887,9940,53,8
498.154054,9939,54,8
502.67944,9938,55,8
503.978505,9937,56,8
505.058872,9936,57,8
505.796141,9935,58,8
505.875884,9934,59,8
505.960915,9933,60,8
506.885691,9933,59,9
508.634404,9932,60,9
508.736229,9932,59,10
509.469129,9931,60,10
512.908424,9930,61,10
513.150831,9929,62,10
514.229167,9928,63,10
516.091003,9927,64,10
517.915762,9926,65,10
518.302807,9925,66,10
518.982091,9924,67,10
523.576643,9924,66,11
524.771835,9923,67,11
526.518668,9922,68,11
526.93533,9921,69,11
527.402647,9921,68,12
529.078122,9920,69,12
530.060876,9919,70,12
533.491202,9918,71,12
533.866539,9917,72,12
534.178328,9916,73,12
537.912948,9915,74,12
538.275191,9914,75,12
538.423505,9913,76,12
539.71001,9912,77,12
540.078457,9911,78,12
541.009967,9910,79,12
542.362417,9909,80,12
542.425567,9908,81,12
543.680572,9907,82,12
543.949326,9906,83,12
544.622404,9905,84,12
544.968567,9904,85,12
546.022666,9903,86,12
547.845717,9902,87,12
547.961218,9901,88,12
549.419247,9900,89,12
550.295601,9899,90,12
551.054943,9898,91,12
551.607986,9897,92,12
552.635141,9896,93,12
552.67121,9895,94,12
554.896194,9894,95,12
555.748,9893,96,12
556.068942,9892,97,12
556.136957,9891,98,12
556.224157,9890,99,12
557.740265,9889,100,12
557.830238,9888,101,12
557.932431,9887,102,12
558.388836,9886,103,12
558.776159,9886,102,13
560.212033,9885,103,13
560.38071,9885,102,14
560.583707,9884,103,14
563.599239,9883,104,14
563.656032,9882,105,14
564.219746,9882,104,15
564.494872,9881,105,15
565.357119,9880,106,15
565.938493,9879,107,15
566.333177,9878,108,15
566.815493,9877,109,15
567.859007,9876,110,15
571.091946,9875,111,15
572.072409,9874,112,15
572.97,9873,113,15
573.556132,9872,114,15
574.095422,9872,113,16
574.649678,9871,114,16
575.202877,9870,115,16
575.341898,9869,116,16
575.460077,9869,115,17
575.546524,9868,116,17
576.956411,9867,117,17
578.577996,9866,118,17
579.582516,9866,117,18
580.322746,9865,118,18
580.430693,9864,119,18
581.202936,9863,120,18
581.859727,9862,121,18
582.781383,9861,122,18
585.337427,9860,123,18
585.500792,9859,124,18
586.721576,9859,123,19
588.28947,9858,124,19
590.77477,9857,125,19
591.301176,9856,126,19
593.35243,9855,127,19
593.375712,9854,128,19
593.455545,9853,129,19
593.923035,9852,130,19
595.528178,9851,131,19
595.923782,9850,132,19
596.288929,9849,133,19
596.381112,9848,134,19
596.70087,9847,135,19
596.72971,9846,136,19
599.909296,9845,137,19
599.982732,9844,138,19
600.563651,9843,139,19
600.758594,9842,140,19
601.2254,9841,141,19
601.858682,9840,142,19
602.166545,9839,143,19
604.412037,9838,144,19
606.343533,9837,145,19
607.107666,9836,146,19
607.989255,9835,147,19
608.027838,9834,148,19
609.164915,9833,149,19
610.289219,9833,148,20
611.045136,9833,147,21
611.19715,9832,148,21
612.118504,9831,149,21
612.138568,9830,150,21
612.540128,9829,151,21
612.642575,9828,152,21
612.922073,9827,153,21
613.044505,9826,154,21
613.184133,9825,155,21
613.328964,9824,156,21
613.833589,9823,157,21
615.045393,9822,158,21
616.303996,9821,159,21
616.530018,9820,160,21
616.768999,9819,161,21
617.179815,9818,162,21
617.958767,9817,163,21
618.177921,9816,164,21
618.830177,9815,165,21
619.982072,9815,164,22
619.990812,9814,165,22
620.659393,9813,166,22
620.74063,9812,167,22
623.267412,9811,168,22
623.284026,9810,169,22
623.883548,9809,170,22
624.284407,9808,171,22
624.595941,9807,172,22
625.293094,9806,173,22
625.833111,9805,174,22
625.930765,9804,175,22
628.061717,9803,176,22
628.447485,9802,177,22
628.473803,9801,178,22
628.787445,9800,179,22
629.271576,9799,180,22
629.678516,9798,181,22
630.142826,9797,182,22
630.828187,9796,183,22
632.11094,9795,184,22
632.281006,9794,185,22
633.103793,9793,186,22
633.681773,9792,187,22
634.97189,9791,188,22
635.375392,9790,189,22
635.380976,9789,190,22
636.668273,9788,191,22
636.76453,9787,192,22
637.842401,9786,193,22
638.398237,9785,194,22
638.469079,9784,195,22
638.650487,9784,194,23
638.803377,9783,195,23
638.887391,9782,196,23
639.17591,9781,197,23
640.618333,9780,198,23
640.762788,9779,199,23
641.357398,9778,200,23
641.526576,9777,201,23
643.035539,9776,202,23
643.357956,9775,203,23
643.383624,9774,204,23
643.765707,9773,205,23
643.827406,9772,206,23
644.210105,9771,207,23
644.261706,9770,208,23
644.333356,9769,209,23
644.417085,9769,208,24
644.5405,9768,209,24
644.695953,9767,210,24
645.734289,9766,211,24
645.809657,9765,212,24
645.854063,9764,213,24
645.892049,9763,214,24
647.269398,9762,215,24
647.401901,9761,216,24
647.725877,9760,217,24
649.154186,9759,218,24
649.356293,9758,219,24
650.562042,9757,220,24
650.6117,9756,221,24
651.26996,9755,222,24
651.382771,9754,223,24
651.622317,9753,224,24
651.793775,9752,225,24
652.073848,9751,226,24
652.093344,9750,227,24
652.582457,9749,228,24
653.154932,9748,229,24
653.227713,9747,230,24
653.56694,9746,231,24
653.983739,9745,232,24
654.218822,9744,233,24
654.523303,9743,234,24
656.398345,9742,235,24
657.107852,9741,236,24
658.035799,9740,237,24
658.66454,9740,236,25
658.935453,9739,237,25
659.18634,9738,238,25
659.32386,9737,239,25
660.043743,9737,238,26
660.125457,9736,239,26
660.814247,9735,240,26
660.836917,9735,239,27
661.517502,9734,240,27
661.716823,9733,241,27
661.720582,9732,242,27
662.613289,9731,243,27
662.674732,9730,244,27
662.861622,9730,243,28
662.904893,9729,244,28
662.987295,9729,243,29
663.586963,9728,244,29
663.76305,9727,245,29
664.260612,9726,246,29
664.706302,9725,247,29
664.717455,9724,248,29
666.211056,9723,249,29
667.096017,9722,250,29
667.5052,9721,251,29
667.781684,9720,252,29
667.808953,9719,253,29
667.972919,9718,254,29
668.161273,9717,255,29
668.73007,9716,256,29
669.526019,9715,257,29
669.589417,9714,258,29
669.612695,9713,259,29
669.620624,9712,260,29
669.984301,9711,261,29
670.489379,9710,262,29
671.513112,9710,261,30
671.656166,9709,262,30
671.849224,9708,263,30
672.014273,9707,264,30
672.046736,9706,265,30
672.178686,9705,266,30
672.444418,9704,267,30
672.983792,9703,268,30
673.100172,9702,269,30
673.110469,9701,270,30
673.169976,9700,271,30
673.399314,9699,272,30
673.596828,9699,271,31
673.739679,9698,272,31
673.930439,9697,273,31
674.003777,9696,274,31
674.133196,9695,275,31
674.457394,9694,276,31
675.072689,9693,277,31
675.562764,9692,278,31
675.936816,9691,279,31
676.535445,9691,278,32
676.563295,9690,279,32
676.78119,9689,280,32
677.224768,9688,281,32
677.237455,9687,282,32
677.314991,9686,283,32
677.680531,9685,284,32
677.711521,9684,285,32
677.778226,9683,286,32
677.854227,9682,287,32
678.337903,9681,288,32
679.140343,9680,289,32
679.279313,9679,290,32
680.094306,9678,291,32
680.504599,9677,292,32
680.805922,9677,291,33
680.931403,9676,292,33
681.074241,9675,293,33
681.476481,9674,294,33
681.963859,9673,295,33
682.235374,9672,296,33
682.392801,9671,297,33
682.548385,9670,298,33
682.865485,9669,299,33
683.145552,9668,300,33
683.640408,9667,301,33
683.762748,9666,302,33
684.129622,9665,303,33
684.405888,9664,304,33
684.768093,9663,305,33
685.77588,9662,306,33
686.632957,9661,307,33
686.925257,9660,308,33
687.059561,9659,309,33
687.689646,9658,310,33
687.79847,9658,309,34
689.496803,9657,310,34
689.65412,9656,311,34
689.818457,9655,312,34
690.046877,9654,313,34
690.10954,9653,314,34
690.236776,9652,315,34
690.674719,9652,314,35
690.850354,9651,315,35
692.280655,9650,316,35
692.498449,9650,315,36
692.609522,9649,316,36
692.84095,9648,317,36
692.884485,9647,318,36
693.03583,9646,319,36
693.197438,9645,320,36
693.199632,9644,321,36
693.284286,9643,322,36
693.384068,9642,323,36
693.671636,9641,324,36
693.696723,9640,325,36
693.76116,9639,326,36
693.891849,9638,327,36
693.929815,9637,328,36
694.400963,9636,329,36
694.858704,9635,330,36
694.894536,9634,331,36
695.21897,9633,332,36
695.261609,9632,333,36
695.925634,9631,334,36
695.976773,9630,335,36
696.69247,9629,336,36
696.864993,9629,335,37
697.465428,9629,334,38
697.623409,9628,335,38
698.645841,9627,336,38
698.805241,9626,337,38
698.967364,9625,338,38
699.296844,9624,339,38
699.486696,9623,340,38
699.571122,9622,341,38
700.095337,9622,340,39
700.312397,9621,341,39
700.335105,9620,342,39
700.434581,9619,343,39
700.643599,9618,344,39
700.946497,9617,345,39
700.954443,9616,346,39
700.972342,9616,345,40
700.979399,9615,346,40
701.198369,9614,347,40
701.393185,9613,348,40
701.625078,9612,349,40
701.729387,9611,350,40
701.929047,9610,351,40
701.953625,9609,352,40
701.993544,9608,353,40
702.225465,9607,354,40
702.283308,9606,355,40
702.531307,9605,356,40
702.686486,9604,357,40
702.754906,9603,358,40
702.838387,9602,359,40
703.016783,9601,360,40
703.034737,9600,361,40
703.173374,9599,362,40
703.516048,9598,363,40
703.644923,9597,364,40
703.752899,9596,365,40
704.232557,9595,366,40
704.358802,9594,367,40
704.415231,9593,368,40
704.652482,9592,369,40
704.656614,9592,368,41
705.093266,9591,369,41
705.250808,9590,370,41
705.682462,9589,371,41
706.08095,9588,372,41
706.368608,9587,373,41
706.412101,9586,374,41
706.619069,9586,373,42
706.73391,9585,374,42
706.855392,9584,375,42
707.337358,9583,376,42
707.468846,9582,377,42
707.703039,9581,378,42
707.746897,9580,379,42
707.807006,9579,380,42
708.083531,9578,381,42
708.457023,9577,382,42
708.627725,9576,383,42
709.271204,9575,384,42
