T,ウサギ,キツネ
0.110537,663,19
0.110706,664,19
0.110869,665,19
0.110969,666,19
0.111086,667,19
0.111318,668,19
0.111419,668,20
0.111596,668,21
0.112112,667,21
0.112216,668,21
0.112432,669,21
0.112895,670,21
0.112901,671,21
0.112913,672,21
0.113143,673,21
0.113185,674,21
0.113363,675,21
0.11339,675,22
0.113619,674,22
0.114141,673,22
0.114569,673,21
0.114736,672,21
0.114836,673,21
0.115194,673,22
0.115276,672,22
0.115453,673,22
0.116598,674,22
0.11692,673,22
0.117418,674,22
0.117991,675,22
0.118215,676,22
0.118292,676,23
0.118368,675,23
0.118464,674,23
0.119457,675,23
0.119485,676,23
0.119566,677,23
0.119698,678,23
0.119838,679,23
0.119925,678,23
0.120181,679,23
0.121032,678,23
0.121344,678,24
0.121746,679,24
0.121822,680,24
0.121973,681,24
0.122174,682,24
0.122232,682,23
0.122469,681,23
0.12261,682,23
0.122641,681,23
0.12328,680,23
0.123913,681,23
0.124087,680,23
0.124197,681,23
0.124658,680,23
0.124707,681,23
0.124829,680,23
0.124961,679,23
0.125064,680,23
0.125088,681,23
0.126158,682,23
0.126404,683,23
0.12657,684,23
0.127541,684,24
0.127881,685,24
0.12804,686,24
0.128688,687,24
0.128757,688,24
0.128767,689,24
0.128996,688,24
0.129311,688,25
0.129387,689,25
0.129709,690,25
0.12983,691,25
0.129878,692,25
0.130019,693,25
0.130226,694,25
0.130555,693,25
0.130635,692,25
0.131123,691,25
0.131405,692,25
0.131537,693,25
0.131606,693,24
0.131648,694,24
0.131708,695,24
0.131926,696,24
0.132528,695,24
0.132926,696,24
0.13293,697,24
0.133532,698,24
0.133857,697,24
0.133863,696,24
0.134212,695,24
0.13452,696,24
0.134598,697,24
0.134714,696,24
0.135084,697,24
0.135107,696,24
0.135351,696,23
0.135776,697,23
0.135959,698,23
0.136143,699,23
0.13663,699,22
0.136631,700,22
0.136673,701,22
0.136676,700,22
0.136717,701,22
0.136896,700,22
0.137853,699,22
0.137913,698,22
0.13829,697,22
0.138787,696,22
0.139022,696,23
0.139131,697,23
0.139282,698,23
0.139746,697,23
0.139911,698,23
0.14007,699,23
0.14037,700,23
0.140439,701,23
0.140554,700,23
0.140726,699,23
0.141546,700,23
0.141639,701,23
0.141895,702,23
0.14215,703,23
0.142461,702,23
0.142463,703,23
0.143091,704,23
0.143136,705,23
0.143372,706,23
0.143406,705,23
0.14369,704,23
0.143797,704,24
0.143851,705,24
0.14401,706,24
0.144012,707,24
0.144093,706,24
0.144214,706,25
0.144892,706,26
0.145084,707,26
0.145217,708,26
0.145426,709,26
0.14573,708,26
0.145859,707,26
0.145892,706,26
0.146141,707,26
0.146584,706,26
0.146993,705,26
0.147613,704,26
0.147799,704,27
0.148843,705,27
0.148905,704,27
0.149379,705,27
0.149478,706,27
0.149549,707,27
0.149674,706,27
0.149963,707,27
0.150127,708,27
0.15031,709,27
0.150342,710,27
0.150638,711,27
0.150905,710,27
0.151142,711,27
0.151389,712,27
0.151689,713,27
0.151994,713,28
0.152033,714,28
0.152234,715,28
0.152491,714,28
0.152547,713,28
0.152738,714,28
0.152759,713,28
0.152923,712,28
0.152968,711,28
0.153012,711,29
0.153553,710,29
0.153664,710,30
0.153789,709,30
0.153925,710,30
0.15396,709,30
0.154039,709,31
0.154097,710,31
0.154099,711,31
0.154309,710,31
0.15433,709,31
0.154334,708,31
0.154485,709,31
0.154588,710,31
0.154858,711,31
0.155213,712,31
0.155392,713,31
0.155891,714,31
0.155969,715,31
0.156022,716,31
0.156192,716,30
0.156233,715,30
0.156689,716,30
0.156714,715,30
0.156932,714,30
0.158037,713,30
0.158061,712,30
0.158129,713,30
0.158137,714,30
0.15826,713,30
0.158272,714,30
