t,ウサギ,キツネ
0.066809,671,117
0.06687,671,116
0.067137,671,117
0.067193,671,118
0.067249,671,119
0.067266,671,120
0.067565,671,119
0.067747,671,120
0.067799,671,121
0.067832,671,122
0.067918,672,122
0.068076,672,123
0.068148,672,124
0.068176,673,124
0.068213,673,125
0.068517,673,126
0.068582,673,127
0.068676,673,128
0.068708,673,129
0.068748,673,130
0.068781,674,130
0.068794,674,131
0.068816,675,131
0.068839,676,131
0.069035,676,132
0.069055,676,133
0.069074,676,134
0.069094,677,134
0.069135,677,135
0.069268,677,136
0.069279,677,137
0.069364,677,136
0.069461,677,137
0.069713,677,138
0.069745,677,139
0.069753,677,140
0.069779,677,141
0.069893,678,141
0.070021,678,142
0.070136,679,142
0.070181,679,143
0.070201,679,144
0.070255,679,145
0.070277,679,144
0.070287,679,145
0.070383,679,146
0.070411,679,145
0.070472,679,146
0.070562,679,147
0.070624,679,148
0.070636,679,149
0.070674,679,150
0.070748,679,151
0.070794,679,150
0.070863,679,149
0.070893,680,149
0.070901,680,150
0.070962,680,151
0.070967,680,152
0.071016,681,152
0.071022,681,153
0.071146,682,153
0.071223,682,154
0.071294,683,154
0.071299,684,154
0.071389,684,155
0.071431,684,156
0.071495,684,157
0.071624,684,158
0.071665,684,159
0.071679,684,160
0.071686,684,159
0.071815,684,160
0.071842,685,160
0.071957,685,161
0.072084,685,162
0.072163,685,163
0.072255,685,164
0.072301,685,165
0.07232,685,166
0.072347,685,165
0.072378,685,166
0.072446,685,167
0.072463,686,167
0.072494,686,168
0.072586,686,169
0.072641,686,170
0.072689,686,171
0.072842,686,172
0.072873,686,173
0.072913,686,174
0.072958,686,175
0.073012,687,175
0.073013,687,176
0.073092,687,177
0.073098,688,177
0.073119,688,178
0.073145,688,177
0.073207,688,178
0.073218,688,177
0.073337,688,178
0.073361,688,179
0.073409,688,178
0.073458,689,178
0.073499,689,179
0.07354,690,179
0.073558,691,179
0.073564,691,178
0.073593,692,178
0.07373,692,179
0.073839,692,180
0.073849,692,181
0.073916,693,181
0.073937,693,182
0.074186,693,183
0.074247,693,182
0.074472,693,183
0.074618,694,183
0.074647,694,182
0.074671,694,183
0.074672,694,184
0.074689,694,185
0.074899,694,186
0.074935,694,187
0.075031,695,187
0.075084,695,186
0.075253,695,185
0.075359,695,186
0.07539,695,185
0.075473,695,186
0.075547,695,187
0.075567,695,188
0.075605,695,189
0.075611,695,188
0.075612,695,187
0.075644,695,188
0.075729,695,189
0.075735,695,190
0.075737,695,191
0.075878,695,192
0.075948,695,193
0.07596,695,194
0.076027,695,195
0.076146,696,195
0.076181,696,194
0.076188,696,193
0.076246,696,194
0.076248,696,195
0.076269,696,196
0.076292,696,197
0.076385,696,196
0.07646,697,196
0.07649,697,197
0.076507,697,198
0.076539,697,199
0.076542,697,198
0.076545,697,197
0.07658,697,198
0.076611,697,199
0.076633,697,200
0.076796,697,201
0.076831,697,202
0.076835,697,201
0.07684,698,201
0.07687,698,202
0.077002,698,203
0.077003,698,204
0.077039,698,205
0.077081,698,206
0.077232,698,207
0.077332,698,208
0.077408,698,209
0.077485,698,210
0.077496,698,211
0.077498,698,212
0.077544,698,213
0.077544,699,213
0.077544,699,214
0.077632,699,213
0.077639,700,213
0.077758,700,214
0.077934,700,215
0.077943,700,216
0.07796,700,217
0.07807,700,218
0.078074,700,219
0.078101,700,220
0.078128,700,221
0.078132,700,222
0.078233,700,223
0.078355,701,223
0.078382,701,222
0.078478,702,222
0.078509,702,223
0.078539,702,224
0.078545,702,225
0.078647,702,224
0.078675,702,225
0.078718,702,226
0.07872,702,225
0.078732,702,226
0.078757,702,225
0.078944,702,226
0.078991,702,227
0.078997,702,226
0.079132,702,227
0.079142,702,226
0.079282,702,225
0.079423,702,224
0.07948,702,225
0.079483,702,226
0.079503,702,227
0.079549,702,228
0.07956,702,227
0.07957,702,228
0.079742,702,229
0.079771,702,230
0.079827,703,230
0.079916,703,229
0.079937,703,230
0.079949,703,231
0.079992,703,232
0.080023,703,233
0.080059,703,234
0.080109,703,235
0.080121,703,236
0.080137,703,237
0.080164,703,238
0.080196,703,239
0.08029,703,240
0.080309,703,241
0.080368,703,242
0.080412,703,243
0.080434,703,244
0.080438,703,245
0.080559,704,245
0.080627,704,246
0.080825,704,247
0.08083,704,246
0.080832,704,247
0.080871,704,248
0.080899,704,249
0.080925,704,250
0.080951,704,251
0.081094,704,252
0.081356,704,253
0.081364,704,254
0.081378,704,255
0.081447,704,256
0.081521,705,256
0.08153,706,256
0.081532,706,255
0.081548,706,256
0.08171,706,257
0.081788,706,258
0.08182,706,257
0.081839,706,258
0.081891,706,257
0.081912,706,258
0.08196,706,257
0.081989,706,258
0.082074,707,258
0.082086,707,259
0.082201,708,259
0.082209,709,259
0.082219,710,259
0.082239,710,260
0.082278,710,261
0.082297,710,260
0.082315,710,261
0.082323,710,262
0.082354,710,263
0.082404,711,263
0.082407,711,264
0.082443,711,265
0.082513,711,264
0.082578,711,265
0.082629,711,264
0.082717,712,264
0.082731,712,265
0.082732,712,266
0.082763,713,266
0.082784,713,267
0.082789,714,267
0.08283,714,268
0.082884,714,267
0.08289,714,268
0.082959,714,269
0.082983,714,270
0.083005,714,271
0.08301,714,270
0.083098,715,270
0.083129,715,271
0.083164,715,272
0.083243,715,273
0.08326,716,273
0.083307,716,274
0.083355,716,275
0.083394,717,275
0.083401,717,274
0.083495,717,275
0.083531,717,276
0.083545,717,277
0.083577,717,278
0.083605,717,279
0.083644,717,280
0.083677,717,279
0.083688,717,280
0.083723,717,281
0.083739,717,280
0.083776,717,281
0.0838,717,282
0.083846,717,283
0.083869,717,284
0.083869,717,285
0.083933,717,286
0.083935,717,285
0.083946,717,284
0.084079,717,285
0.084091,717,286
0.084192,717,287
0.084207,717,288
0.084219,717,289
0.084255,717,290
0.084326,717,291
0.084371,717,292
0.084379,717,291
0.084392,717,292
0.084425,717,293
0.084438,717,294
0.084439,717,293
0.084463,717,294
0.084598,717,295
0.084658,717,296
0.084743,717,295
0.084798,717,296
0.084852,717,297
0.084853,717,296
0.084853,717,295
0.084857,717,296
0.08487,717,297
0.084881,717,298
0.084888,717,299
0.084956,717,300
0.084957,717,301
0.084995,717,302
0.085072,718,302
0.085146,718,303
0.085198,718,304
0.085209,718,303
0.085236,718,304
0.085248,719,304
0.08526,719,305
0.085362,719,306
0.08537,719,307
0.085371,719,308
0.085374,719,309
0.085392,719,310
0.085443,720,310
0.085467,720,311
0.085513,720,312
0.085565,720,313
0.085577,720,314
0.08558,720,315
0.085611,720,314
0.085632,721,314
0.085702,721,315
0.085715,722,315
0.085759,722,316
0.085773,723,316
0.085879,723,317
0.085884,723,318
0.085898,723,319
0.085915,723,320
0.085969,723,321
0.086061,723,322
0.08609,723,323
0.086139,723,324
0.086166,723,323
0.086186,724,323
0.086225,724,322
0.086229,724,323
0.086251,724,324
0.086296,724,325
0.086319,724,326
0.086327,724,327
0.086381,724,328
0.086406,724,329
0.086423,724,330
0.086436,725,330
0.08647,725,331
0.086478,725,332
0.0865,725,333
0.086525,725,334
0.086556,725,335
0.086614,726,335
0.086629,727,335
0.086663,727,336
0.086692,727,337
0.086742,727,336
0.086746,727,337
0.086763,728,337
0.086764,728,338
0.086802,728,339
0.086834,728,340
0.08684,728,341
0.086851,728,342
0.086892,728,343
0.086914,728,344
0.086989,728,345
0.087154,728,344
0.087165,728,345
0.087169,728,346
0.087191,728,347
0.087191,728,348
0.087193,728,349
0.087197,729,349
0.087227,729,350
0.087242,729,351
0.087256,729,352
0.087279,729,353
0.087313,729,352
0.087325,729,353
0.087333,729,354
0.087374,729,355
0.087392,729,356
0.087433,729,357
0.087442,729,358
0.087456,729,357
0.087526,730,357
0.087527,730,358
0.087541,730,359
0.087548,730,360
0.087565,730,361
0.087575,730,362
0.087607,730,363
0.087637,730,362
0.087657,730,361
0.087734,730,362
0.087779,731,362
0.087795,732,362
0.087826,732,361
0.087854,732,362
0.087878,733,362
0.087926,733,363
0.087981,733,364
0.088015,733,363
0.088017,733,364
0.088021,733,363
0.088027,733,364
0.088068,733,363
0.088069,733,364
0.088099,733,365
0.088103,733,366
0.088157,733,367
0.088205,733,368
0.08826,733,369
0.088313,733,370
0.088378,733,371
0.088388,733,372
0.088392,734,372
0.088401,734,373
0.088423,734,374
0.088454,734,373
0.088492,734,374
0.088496,734,375
0.088509,734,374
0.08852,734,373
0.08853,734,372
0.088579,734,373
0.088596,734,374
0.088599,734,375
0.088616,734,376
0.08862,734,377
0.088637,734,378
0.088727,734,379
0.088731,734,380
0.088787,734,381
0.088823,734,382
0.088829,734,383
0.088829,734,384
0.088842,734,385
0.088851,734,386
0.088879,734,387
0.088894,734,388
0.088937,734,389
0.088973,734,388
0.089006,734,389
0.089038,734,388
0.089062,734,389
0.089101,734,390
0.089114,734,391
0.089146,734,392
0.089154,734,393
0.089155,734,394
0.089206,734,395
0.089294,734,396
0.089333,734,395
0.089344,734,396
0.089363,734,397
0.089363,734,396
0.089364,735,396
0.089371,735,397
0.089375,735,398
0.089381,735,399
0.089488,735,400
0.089558,735,401
0.089588,735,402
0.089639,735,401
0.089693,735,402
0.089733,735,403
0.089742,735,404
0.089778,735,405
0.089782,735,406
0.08983,735,407
0.089864,735,408
0.089866,736,408
0.089879,736,409
0.08988,736,410
0.089885,736,411
0.089912,736,412
0.089913,736,413
0.089935,736,412
0.08995,736,413
0.089978,736,414
0.090072,736,415
0.090136,736,416
0.090155,736,417
0.090179,736,418
0.090181,736,417
0.090219,736,418
0.090238,737,418
0.090271,737,419
0.090292,737,420
0.090361,737,421
0.09046,737,422
0.090502,737,423
0.090509,737,424
0.090509,737,423
0.090526,737,424
0.090535,737,425
0.090561,737,424
0.090669,737,425
0.090713,737,426
0.090762,737,427
0.090762,737,426
0.090794,737,427
0.090807,737,428
0.090814,737,427
0.090816,737,428
0.090823,737,429
0.090824,737,430
0.090845,737,431
0.090845,737,432
0.090847,737,433
0.090958,737,434
0.09096,737,435
0.091021,737,436
0.091023,737,437
0.091071,737,438
0.09114,737,439
0.091146,737,440
0.091187,737,439
0.091193,737,440
0.09125,737,441
0.09126,737,442
0.091317,737,443
0.09132,737,444
0.091378,737,443
0.091397,737,442
0.091403,737,443
0.091419,738,443
0.091428,738,442
0.091446,738,441
0.091593,738,442
0.091616,738,443
0.091626,738,444
0.091684,738,445
0.091721,738,446
0.091728,738,445
0.091731,738,446
0.09175,738,445
0.091763,738,446
0.091776,738,447
0.091824,738,448
0.091891,738,447
0.091905,738,448
0.091965,738,449
0.09198,739,449
0.091984,739,450
0.092078,739,451
0.092093,739,452
0.092121,739,453
0.092121,739,452
0.092122,739,453
0.092192,739,454
0.092206,739,455
0.09224,739,456
0.092299,739,457
0.092316,739,458
0.092337,739,457
0.092339,739,458
0.092351,739,459
0.092366,739,460
0.092369,739,461
0.092377,739,462
0.092456,739,463
0.092458,739,464
0.092486,739,465
0.092496,739,466
0.092508,739,467
0.092515,739,468
0.092529,739,469
0.092588,740,469
0.09259,740,470
0.092597,740,471
0.092607,741,471
0.092629,741,472
0.092641,741,473
0.092668,741,474
0.09274,741,475
0.092745,741,476
0.092759,742,476
0.092775,742,477
0.092778,742,478
0.092801,742,477
0.092815,742,478
0.09283,742,479
0.092867,742,480
0.0929,742,481
0.092906,742,480
0.092939,742,481
0.092955,742,482
0.092963,742,481
0.092967,743,481
0.092986,743,482
0.093008,743,483
0.093013,743,484
0.09303,743,483
0.093033,743,484
0.093089,743,485
0.093099,743,486
0.093109,743,485
0.093112,743,486
0.093122,743,487
0.093174,743,488
0.093181,743,489
0.093206,743,490
0.09322,743,491
0.093234,743,490
0.093238,743,491
0.093246,743,492
0.093248,744,492
0.093252,744,491
0.093318,744,490
0.093338,744,489
0.093339,744,490
0.093383,745,490
0.093416,745,491
0.09342,745,490
0.093481,745,491
0.093513,745,492
0.093536,745,493
0.093578,745,492
0.093612,745,493
0.093624,745,494
0.093635,745,495
0.093651,745,496
0.093653,745,495
0.093655,745,496
0.09371,745,497
0.093712,745,498
0.093727,745,499
0.093737,745,498
0.093738,745,499
0.093781,745,500
0.093797,745,501
0.09382,745,502
0.093835,745,503
0.09385,745,504
0.093852,745,505
0.093859,745,506
0.093872,746,506
0.093877,746,507
0.093916,746,508
0.093932,746,507
0.093941,746,508
0.093995,746,509
0.094012,746,510
0.094061,746,511
0.094062,746,512
0.0941,746,513
0.094106,746,514
0.094131,746,515
0.094143,746,516
0.09415,746,517
0.094151,746,518
0.094152,746,519
0.094169,746,520
0.094185,746,519
0.094194,746,520
0.094198,746,521
0.094224,746,520
0.094268,746,521
0.09428,746,522
0.094289,746,523
0.094295,746,524
0.094297,746,525
0.094301,746,526
0.094341,746,527
0.094374,746,526
0.094375,746,525
0.094389,746,526
0.094401,746,527
0.094415,746,526
0.094421,746,527
0.094465,746,526
0.094475,746,527
0.094477,746,528
0.094478,746,529
0.094493,746,530
0.094506,746,529
0.094542,746,530
0.094576,746,531
0.094598,746,532
0.094665,746,533
0.094676,746,534
0.094677,746,533
0.094687,746,534
0.094692,746,533
0.094714,746,534
0.094721,746,535
0.094745,746,536
0.094754,746,537
0.094756,747,537
0.094804,747,538
0.094809,747,539
0.094845,747,540
0.094855,747,541
0.094885,747,542
0.094886,747,543
0.094907,747,544
0.094931,748,544
0.095042,748,545
0.095063,748,546
0.095097,748,547
0.095098,748,546
0.095185,748,547
0.095191,748,548
0.095195,748,549
0.095196,749,549
0.0952,749,550
0.095204,749,551
0.09524,749,552
0.095246,749,553
0.0953,749,554
0.09532,749,555
0.095332,749,556
0.095361,749,557
0.095386,749,556
0.095397,749,557
0.095415,749,558
0.095419,749,559
0.09557,749,560
0.095631,749,561
0.095672,749,562
0.095695,750,562
0.095696,750,563
0.095744,750,564
0.095772,750,565
0.095778,750,566
0.095796,750,567
0.095799,750,566
0.095824,750,567
0.09583,750,568
0.095848,750,569
0.09589,750,570
0.095917,750,571
0.095922,751,571
0.095929,751,572
0.09594,751,573
0.095943,751,574
0.095959,751,575
0.09601,751,576
0.096015,751,575
0.096038,751,574
0.096079,752,574
0.096091,752,575
0.096094,752,576
0.096115,752,577
0.096123,752,578
0.096129,752,579
0.096137,752,580
0.096143,753,580
0.096144,753,581
0.096151,753,582
0.096161,753,583
0.096175,753,584
0.096197,753,585
0.096218,753,586
0.09627,753,587
0.096288,753,588
0.096292,753,589
0.09631,753,590
0.096317,754,590
0.096323,754,591
0.096389,754,592
0.09641,755,592
0.096412,755,593
0.096415,755,594
0.096446,755,595
0.096469,755,594
0.096485,755,593
0.096503,755,594
0.096523,755,595
0.096533,755,596
0.096595,755,597
0.096602,755,598
0.096634,755,597
0.096642,755,598
0.096656,755,599
0.096667,755,600
0.096677,755,601
0.096682,755,602
0.096702,755,603
0.096748,755,604
0.096767,755,605
0.09678,755,606
0.096819,755,607
0.096837,755,606
0.096862,755,605
0.096883,755,606
0.096889,755,605
0.096899,755,606
0.096901,755,607
0.09691,755,608
0.096931,755,609
0.096983,756,609
0.097018,756,610
0.09703,756,611
0.097048,756,612
0.097053,756,613
0.097054,756,614
0.097057,756,615
0.097062,756,616
0.097088,756,617
0.09711,756,618
0.097117,756,619
0.097119,756,620
0.097129,756,621
0.097148,756,622
0.097179,756,623
0.097207,756,624
0.097213,756,625
0.097241,756,626
0.097256,756,627
0.097272,756,628
0.097286,756,627
0.097288,756,628
0.097294,756,629
0.097314,756,628
0.097314,756,629
0.097314,756,630
0.097326,756,629
0.097339,756,630
0.097356,756,631
0.097359,756,632
0.09736,757,632
0.097434,757,631
0.097471,757,632
0.097482,757,633
0.09751,757,632
0.097519,757,633
0.097519,757,632
0.097533,757,631
0.097534,757,632
0.097544,757,633
0.097546,757,634
0.097561,757,635
0.097584,757,636
0.097626,757,637
0.097631,757,636
0.097643,758,636
0.097665,758,637
0.097674,758,638
0.097674,758,639
0.097694,758,640
0.09773,758,641
0.097755,758,642
0.097783,758,643
0.097808,758,644
0.097835,758,645
0.097852,758,644
0.097885,758,643
0.097887,758,644
0.097945,758,643
0.097961,758,644
0.097965,758,645
0.097974,758,646
0.097975,758,647
0.097981,758,648
0.098008,758,647
0.09804,758,648
0.098071,758,649
0.098093,758,650
0.098119,758,651
0.098137,758,652
0.098143,758,653
0.098164,758,654
0.098185,758,655
0.098205,758,656
0.098212,758,657
0.098214,758,658
0.098225,758,659
0.098285,758,660
0.098293,758,661
0.098297,758,662
0.098299,758,663
0.098345,758,662
0.098347,758,663
0.098352,758,664
0.098378,758,665
0.098396,758,666
0.09842,758,667
0.098421,758,668
0.098422,758,669
0.098426,758,670
0.098436,758,671
0.098437,758,670
0.098456,758,671
0.098457,758,672
0.09847,758,671
0.09848,758,672
0.098509,758,673
0.09852,758,674
0.098528,758,675
0.09854,758,676
0.098549,758,677
0.098549,758,678
0.09856,758,677
0.098564,758,678
0.098565,758,679
0.098635,758,680
0.09864,758,681
0.09864,758,682
0.098648,758,683
0.09865,758,684
0.098667,758,685
0.098684,758,686
0.098696,758,685
0.098719,758,686
0.098743,758,687
0.098763,758,688
0.098766,758,689
0.098771,758,690
0.098779,759,690
0.098799,759,691
0.09883,759,692
0.098909,759,693
0.098955,759,694
0.098981,759,695
0.098981,759,696
0.098982,759,697
0.098985,759,698
0.098996,759,697
0.099013,759,698
0.099023,759,699
0.099042,759,700
0.099045,759,701
0.09905,760,701
0.099078,760,700
0.099088,760,701
0.099096,760,702
0.099101,760,703
0.099125,760,704
0.099127,760,705
0.099132,760,706
0.099152,760,707
0.099161,760,708
0.09919,760,709
0.099212,760,710
0.099225,760,711
0.099226,760,712
0.099273,760,713
0.099278,760,714
0.099316,760,715
0.099327,760,716
0.099334,760,717
0.099334,760,718
0.099335,760,719
0.099348,760,720
0.099367,760,719
0.099376,760,720
0.099392,761,720
0.099405,761,719
0.099437,761,720
0.099442,761,719
0.099451,761,720
0.099456,761,721
0.099469,761,722
0.099479,761,723
0.099482,762,723
0.099512,762,722
0.099534,762,723
0.099541,762,724
0.099569,762,725
0.09957,762,726
0.099571,762,727
0.099575,762,728
0.099593,762,729
0.099596,762,730
0.099617,762,731
0.099651,763,731
0.099656,763,730
0.099688,763,729
0.09969,763,730
0.099699,763,731
0.09972,763,732
0.099755,763,731
0.099789,763,732
0.099803,763,731
0.099803,763,732
0.099817,763,731
0.099837,763,732
0.09987,763,731
0.099884,763,732
0.0999,763,731
0.099905,763,732
0.099927,763,731
0.099967,763,730
0.100015,763,731
0.100019,763,732
0.100054,763,733
0.100063,763,734
0.100068,764,734
0.100073,764,735
0.100093,764,736
0.100118,764,737
0.100121,764,738
0.100141,764,739
0.100154,764,738
0.100155,764,739
0.100189,764,740
0.100209,764,741
0.100209,764,742
0.10021,764,743
0.100214,764,744
0.100217,764,745
0.100228,764,746
0.100248,764,747
0.100255,764,748
0.100272,764,749
0.100318,764,750
0.100326,764,751
0.100331,764,752
0.100338,764,753
0.100354,764,754
0.100361,764,755
0.100372,764,754
0.100383,764,755
0.100407,764,754
0.10041,764,755
0.100411,764,754
0.10042,764,755
0.100424,764,756
0.100425,764,757
0.100458,764,758
0.100465,764,759
0.100475,764,760
0.100496,764,761
0.100497,764,762
0.100502,764,763
0.100515,764,764
0.100603,764,765
0.100617,764,766
0.100632,764,767
0.100642,764,768
0.10066,764,769
0.100665,764,770
0.100693,764,771
0.100694,764,772
0.100704,764,773
0.100711,764,774
0.100754,764,775
0.100776,764,776
0.10079,765,776
0.100795,765,777
0.100804,765,776
0.100828,765,777
0.100871,765,778
0.100871,765,779
0.100874,765,780
0.100885,765,781
0.100922,765,782
0.100932,766,782
0.100942,766,783
0.100984,766,784
0.100988,766,785
0.101012,766,784
0.101015,766,783
0.101019,766,784
0.101036,766,785
0.101039,766,786
0.101044,766,787
0.101044,766,786
0.101049,766,787
0.101049,766,788
0.101067,766,787
0.101074,766,786
0.101097,766,785
0.101123,766,784
0.101123,766,785
0.101125,766,786
0.101128,766,787
0.10116,766,788
0.101166,766,789
0.101174,766,790
0.101182,766,791
0.101197,766,792
0.101206,766,791
0.101228,766,792
0.101247,766,791
0.101258,766,792
0.101262,766,793
0.101277,766,794
0.101282,766,793
0.101339,766,794
0.101342,766,795
0.101365,766,796
0.101365,767,796
0.101388,767,797
0.101389,767,798
0.101389,767,799
0.101393,767,798
0.101397,767,799
0.101398,767,800
0.101399,767,801
0.101401,767,802
0.101403,767,801
0.101433,767,802
0.101434,767,803
0.101437,767,804
0.10144,767,805
0.101444,767,804
0.10145,767,805
0.101455,767,806
0.101463,767,805
0.101465,767,806
0.101482,767,805
0.101485,767,806
0.101487,767,805
0.101491,767,806
0.101504,767,807
0.101527,767,808
0.101559,767,809
0.101564,767,810
0.101569,767,811
0.10157,767,812
0.101577,767,811
0.101593,768,811
0.101597,768,812
0.101608,768,813
0.10161,768,814
0.101646,768,815
0.101652,768,816
0.101657,768,817
0.10169,768,818
0.10169,768,817
0.101699,768,818
0.101703,769,818
0.101714,769,819
0.101721,769,820
0.101728,769,821
0.101732,769,822
0.101734,769,823
0.101743,769,824
0.101803,769,823
0.101804,769,824
0.101832,769,823
0.101832,769,824
0.101875,769,825
0.101885,769,826
0.101912,769,827
0.101915,769,828
0.101934,769,829
0.101946,769,830
0.101953,769,829
0.101962,769,828
0.101966,769,829
0.101969,769,830
0.101975,769,831
0.101998,769,832
0.102001,769,831
0.102028,769,832
0.102033,769,831
0.102038,769,832
0.102045,769,833
0.102055,769,834
