,ê∂éYé“,àÍéüè¡îÔé“,ìÒéüè¡îÔé“
186,1.7392,0.340386,1.161526
187,1.654091,0.533137,0.997717
188,1.426247,0.902627,1.014595
189,1.06029,1.332193,1.261858
190,0.759763,1.328392,1.735327
191,0.812585,0.79845,2.11746
192,1.23421,0.40119,1.999011
193,1.615849,0.283051,1.604374
194,1.738525,0.307831,1.249358
195,1.696212,0.452338,1.033223
196,1.518466,0.762211,0.986541
197,1.188362,1.209553,1.152463
198,0.830103,1.406755,1.565625
199,0.747279,0.988671,2.037191
200,1.074757,0.493378,2.089872
201,1.520569,0.301429,1.739039
202,1.721205,0.287545,1.35249
203,1.724309,0.389554,1.086715
204,1.593236,0.639878,0.981121
205,1.311041,1.062017,1.071164
206,0.931991,1.407467,1.406341
207,0.729412,1.174262,1.906007
208,0.929546,0.622716,2.134699
209,1.393955,0.337586,1.872412
210,1.683399,0.27895,1.469363
211,1.73879,0.342535,1.157334
212,1.651393,0.53804,0.996416
213,1.420809,0.910532,1.016858
214,1.053519,1.337491,1.268577
215,0.757163,1.322024,1.74443
216,0.817509,0.788688,2.120022
217,1.242793,0.39722,1.993168
218,1.620066,0.282514,1.597306
219,1.738941,0.309277,1.244295
220,1.694303,0.456206,1.030904
221,1.513964,0.769309,0.987502
222,1.181572,1.216914,1.157654
223,0.825498,1.40443,1.574603
224,0.749646,0.978287,2.042922
225,1.083182,0.487552,2.086013
226,1.526493,0.300054,1.731792
227,1.722602,0.288348,1.346629
228,1.723139,0.392507,1.083442
229,1.58966,0.645915,0.980904
230,1.30476,1.070149,1.074847
231,0.925955,1.409302,1.414413
232,0.729226,1.164967,1.913999
233,0.936655,0.614824,2.133712
234,1.401466,0.335129,1.86548
235,1.686017,0.279122,1.462815
236,1.738359,0.344694,1.153155
237,1.648675,0.542972,0.995121
238,1.415341,0.918461,1.019132
239,1.046755,1.342699,1.275309
240,0.75462,1.315558,1.75347
241,0.822471,0.779033,2.122413
242,1.251284,0.393329,1.987266
243,1.624183,0.282,1.590257
244,1.73932,0.310739,1.239258
245,1.692369,0.460106,1.028608
246,1.509426,0.776448,0.98849
247,1.174768,1.224221,1.162883
248,0.820957,1.401938,1.583576
249,0.752096,0.967937,2.048499
250,1.091592,0.481834,2.082038
251,1.532307,0.298718,1.724547
252,1.723944,0.289173,1.340799
