‚”,ŽíX,ŽíY
7.14,0.484136,0.015864
7.15,0.484213,0.015787
7.16,0.484289,0.015711
7.17,0.484365,0.015635
7.18,0.484441,0.01556
7.19,0.484516,0.015484
7.2,0.484591,0.01541
7.21,0.484665,0.015335
7.22,0.484739,0.015261
7.23,0.484813,0.015187
7.24,0.484887,0.015114
7.25,0.48496,0.015041
7.26,0.485033,0.014968
7.27,0.485105,0.014895
7.28,0.485177,0.014823
7.29,0.485249,0.014752
7.3,0.48532,0.01468
7.31,0.485391,0.014609
7.32,0.485462,0.014538
7.33,0.485532,0.014468
7.34,0.485603,0.014398
7.35,0.485672,0.014328
7.36,0.485742,0.014259
7.37,0.485811,0.01419
7.38,0.48588,0.014121
7.39,0.485948,0.014052
7.4,0.486016,0.013984
7.41,0.486084,0.013916
7.42,0.486151,0.013849
7.43,0.486219,0.013782
7.44,0.486285,0.013715
7.45,0.486352,0.013648
7.46,0.486418,0.013582
7.47,0.486484,0.013516
7.48,0.48655,0.013451
7.49,0.486615,0.013385
7.5,0.48668,0.01332
7.51,0.486745,0.013256
7.52,0.486809,0.013191
7.53,0.486873,0.013127
7.54,0.486937,0.013063
7.55,0.487,0.013
7.56,0.487063,0.012937
7.57,0.487126,0.012874
7.58,0.487189,0.012811
7.59,0.487251,0.012749
7.6,0.487313,0.012687
7.61,0.487375,0.012625
7.62,0.487436,0.012564
7.63,0.487497,0.012503
7.64,0.487558,0.012442
7.65,0.487619,0.012382
7.66,0.487679,0.012321
7.67,0.487739,0.012261
7.68,0.487798,0.012202
7.69,0.487858,0.012142
7.7,0.487917,0.012083
7.71,0.487976,0.012024
7.72,0.488034,0.011966
7.73,0.488092,0.011908
7.74,0.48815,0.01185
7.75,0.488208,0.011792
7.76,0.488266,0.011735
7.77,0.488323,0.011677
7.78,0.48838,0.011621
7.79,0.488436,0.011564
7.8,0.488493,0.011508
7.81,0.488549,0.011451
7.82,0.488604,0.011396
7.83,0.48866,0.01134
7.84,0.488715,0.011285
7.85,0.48877,0.01123
7.86,0.488825,0.011175
7.87,0.48888,0.011121
7.88,0.488934,0.011066
7.89,0.488988,0.011012
7.9,0.489042,0.010959
7.91,0.489095,0.010905
7.92,0.489148,0.010852
7.93,0.489201,0.010799
7.94,0.489254,0.010746
7.95,0.489306,0.010694
7.96,0.489358,0.010642
7.97,0.48941,0.01059
7.98,0.489462,0.010538
7.99,0.489514,0.010487
8,0.489565,0.010435
8.01,0.489616,0.010384
8.02,0.489666,0.010334
8.03,0.489717,0.010283
8.04,0.489767,0.010233
8.05,0.489817,0.010183
8.06,0.489867,0.010133
8.07,0.489916,0.010084
8.08,0.489966,0.010034
8.09,0.490015,0.009985
8.1,0.490064,0.009936
8.11,0.490112,0.009888
8.12,0.490161,0.00984
8.13,0.490209,0.009791
8.14,0.490257,0.009744
8.15,0.490304,0.009696
8.16,0.490352,0.009648
8.17,0.490399,0.009601
8.18,0.490446,0.009554
8.19,0.490493,0.009508
8.2,0.490539,0.009461
8.21,0.490585,0.009415
8.22,0.490631,0.009369
8.23,0.490677,0.009323
8.24,0.490723,0.009277
8.25,0.490768,0.009232
8.26,0.490814,0.009187
8.27,0.490859,0.009142
8.28,0.490903,0.009097
8.29,0.490948,0.009052
8.3,0.490992,0.009008
8.31,0.491036,0.008964
8.32,0.49108,0.00892
8.33,0.491124,0.008876
8.34,0.491167,0.008833
8.35,0.491211,0.008789
8.36,0.491254,0.008746
8.37,0.491297,0.008703
8.38,0.491339,0.008661
8.39,0.491382,0.008618
8.4,0.491424,0.008576
8.41,0.491466,0.008534
8.42,0.491508,0.008492
8.43,0.491549,0.008451
8.44,0.491591,0.008409
8.45,0.491632,0.008368
8.46,0.491673,0.008327
8.47,0.491714,0.008286
8.48,0.491755,0.008245
8.49,0.491795,0.008205
8.5,0.491835,0.008165
8.51,0.491875,0.008125
8.52,0.491915,0.008085
8.53,0.491955,0.008045
8.54,0.491994,0.008006
8.55,0.492034,0.007966
8.56,0.492073,0.007927
8.57,0.492112,0.007888
8.58,0.49215,0.00785
8.59,0.492189,0.007811
8.6,0.492227,0.007773
8.61,0.492266,0.007734
8.62,0.492304,0.007696
8.63,0.492341,0.007659
8.64,0.492379,0.007621
8.65,0.492416,0.007584
8.66,0.492454,0.007546
8.67,0.492491,0.007509
8.68,0.492528,0.007472
8.69,0.492564,0.007436
8.7,0.492601,0.007399
8.71,0.492637,0.007363
8.72,0.492673,0.007327
8.73,0.492709,0.007291
8.74,0.492745,0.007255
8.75,0.492781,0.007219
8.76,0.492816,0.007184
8.77,0.492852,0.007148
8.78,0.492887,0.007113
8.79,0.492922,0.007078
8.8,0.492957,0.007043
8.81,0.492991,0.007009
8.82,0.493026,0.006974
8.83,0.49306,0.00694
8.84,0.493094,0.006906
8.85,0.493128,0.006872
8.86,0.493162,0.006838
8.87,0.493196,0.006804
8.88,0.493229,0.006771
8.89,0.493262,0.006738
8.9,0.493296,0.006704
8.91,0.493329,0.006671
8.92,0.493361,0.006639
8.93,0.493394,0.006606
8.94,0.493427,0.006573
8.95,0.493459,0.006541
8.96,0.493491,0.006509
8.97,0.493523,0.006477
8.98,0.493555,0.006445
8.99,0.493587,0.006413
9,0.493618,0.006382
9.01,0.49365,0.00635
9.02,0.493681,0.006319
9.03,0.493712,0.006288
9.04,0.493743,0.006257
9.05,0.493774,0.006226
9.06,0.493805,0.006195
9.07,0.493835,0.006165
9.08,0.493866,0.006134
9.09,0.493896,0.006104
9.1,0.493926,0.006074
9.11,0.493956,0.006044
9.12,0.493986,0.006014
9.13,0.494015,0.005985
9.14,0.494045,0.005955
9.15,0.494074,0.005926
9.16,0.494103,0.005897
9.17,0.494132,0.005868
9.18,0.494161,0.005839
9.19,0.49419,0.00581
9.2,0.494219,0.005781
9.21,0.494247,0.005753
9.22,0.494276,0.005725
9.23,0.494304,0.005696
9.24,0.494332,0.005668
9.25,0.49436,0.00564
9.26,0.494388,0.005612
9.27,0.494415,0.005585
9.28,0.494443,0.005557
9.29,0.49447,0.00553
9.3,0.494498,0.005503
9.31,0.494525,0.005475
9.32,0.494552,0.005448
9.33,0.494579,0.005421
9.34,0.494605,0.005395
9.35,0.494632,0.005368
9.36,0.494658,0.005342
9.37,0.494685,0.005315
9.38,0.494711,0.005289
9.39,0.494737,0.005263
9.4,0.494763,0.005237
9.41,0.494789,0.005211
9.42,0.494815,0.005185
9.43,0.49484,0.00516
9.44,0.494866,0.005134
9.45,0.494891,0.005109
9.46,0.494916,0.005084
9.47,0.494941,0.005059
9.48,0.494966,0.005034
9.49,0.494991,0.005009
9.5,0.495016,0.004984
9.51,0.495041,0.004959
9.52,0.495065,0.004935
9.53,0.495089,0.004911
9.54,0.495114,0.004886
9.55,0.495138,0.004862
9.56,0.495162,0.004838
9.57,0.495186,0.004814
9.58,0.495209,0.004791
9.59,0.495233,0.004767
9.6,0.495257,0.004743
9.61,0.49528,0.00472
9.62,0.495303,0.004697
9.63,0.495327,0.004673
9.64,0.49535,0.00465
9.65,0.495373,0.004627
9.66,0.495396,0.004604
9.67,0.495418,0.004582
9.68,0.495441,0.004559
9.69,0.495464,0.004536
9.7,0.495486,0.004514
9.71,0.495508,0.004492
9.72,0.49553,0.00447
9.73,0.495553,0.004447
9.74,0.495575,0.004425
9.75,0.495596,0.004404
9.76,0.495618,0.004382
9.77,0.49564,0.00436
9.78,0.495661,0.004339
9.79,0.495683,0.004317
9.8,0.495704,0.004296
9.81,0.495725,0.004275
9.82,0.495747,0.004253
9.83,0.495768,0.004232
9.84,0.495789,0.004211
9.85,0.495809,0.004191
9.86,0.49583,0.00417
9.87,0.495851,0.004149
9.88,0.495871,0.004129
9.89,0.495892,0.004108
9.9,0.495912,0.004088
9.91,0.495932,0.004068
9.92,0.495952,0.004048
9.93,0.495972,0.004028
9.94,0.495992,0.004008
9.95,0.496012,0.003988
9.96,0.496032,0.003968
9.97,0.496052,0.003948
9.98,0.496071,0.003929
9.99,0.49609,0.00391
10,0.49611,0.00389
